subject_id,group,covariate_X,target_Y,lag_steps,lag_ms,f_stat_residual,p_value_residual
sub-019,A,Fp2,P4,50,100,17.079429088647846,8.110938229269612e-59
sub-020,A,P3,Fp1,5,10,30.886583274608395,1.5388079934125916e-25
sub-020,A,P3,Fp1,10,20,26.575934676570462,2.719122748405355e-36
sub-020,A,P3,Fp1,20,40,20.368782123406092,1.5490725438775862e-44
sub-020,A,P3,Fp1,30,60,15.899679786145972,3.7905062530148087e-45
sub-020,A,P3,Fp1,40,80,13.93636624626759,2.4574923785823527e-46
sub-020,A,P3,Fp1,50,100,11.278783196264792,1.4572678633941654e-42
sub-020,A,Fp1,P3,5,10,26.00621251726232,5.745189572117636e-22
sub-020,A,Fp1,P3,10,20,17.804254907484115,1.3940183769004031e-25
sub-020,A,Fp1,P3,20,40,9.852254763986371,5.0663751725391625e-23
sub-020,A,Fp1,P3,30,60,7.028376952966954,1.0790981981756479e-20
sub-020,A,Fp1,P3,40,80,5.680797416610685,3.987624079624055e-19
sub-020,A,Fp1,P3,50,100,4.547979656480526,2.4401779929052317e-16
sub-020,A,P4,Fp2,5,10,20.005550959864333,2.5540029352101234e-17
sub-020,A,P4,Fp2,10,20,19.11564058084931,2.7381053120852756e-27
sub-020,A,P4,Fp2,20,40,16.05433865900509,1.7119288964874625e-36
sub-020,A,P4,Fp2,30,60,11.976303939373082,2.2316398625736514e-35
sub-020,A,P4,Fp2,40,80,10.299704037915248,1.1415724209112172e-35
sub-020,A,P4,Fp2,50,100,8.636138942048518,1.9189930029533416e-33
sub-020,A,Fp2,P4,5,10,26.23825170639685,3.849279992703333e-22
sub-020,A,Fp2,P4,10,20,18.882864737412095,5.463948960978801e-27
sub-020,A,Fp2,P4,20,40,10.160802620347813,9.394891492361883e-24
sub-020,A,Fp2,P4,30,60,7.085295887897644,7.028033705662977e-21
sub-020,A,Fp2,P4,40,80,5.536049132673855,1.519751679055391e-18
sub-020,A,Fp2,P4,50,100,4.4786578703043665,5.144995368599199e-16
sub-021,A,P3,Fp1,5,10,34.59596355499801,3.8663453611487094e-28
sub-021,A,P3,Fp1,10,20,31.320206801659936,1.812099136808581e-41
sub-021,A,P3,Fp1,20,40,23.276887118973246,1.830976074425585e-49
sub-021,A,P3,Fp1,30,60,17.628246033201112,4.9479620479145206e-49
sub-021,A,P3,Fp1,40,80,15.4839284985513,2.196494102195672e-50
sub-021,A,P3,Fp1,50,100,14.489327058855885,4.306400142659137e-52
