subject_id,group,covariate_X,target_Y,lag_steps,lag_ms,f_stat_residual,p_value_residual
sub-037,C,P4,Fp2,10,20,48.26411520399451,2.6721542269796363e-57
sub-037,C,P4,Fp2,20,40,29.421335846843608,8.212441266483366e-59
sub-037,C,P4,Fp2,30,60,22.402973341159896,1.0894822873723628e-58
sub-037,C,P4,Fp2,40,80,16.977998620250712,4.634442584351694e-54
sub-037,C,P4,Fp2,50,100,13.46755130202682,3.2234154710929825e-49
sub-037,C,Fp2,P4,5,10,54.96541051269527,6.509759357271039e-41
sub-037,C,Fp2,P4,10,20,29.78857938319978,7.715008268500968e-40
sub-037,C,Fp2,P4,20,40,15.520528437540216,1.984565443861284e-35
sub-037,C,Fp2,P4,30,60,12.186528902804291,6.128978738792697e-36
sub-037,C,Fp2,P4,40,80,11.745917433898445,4.000595480770617e-40
sub-037,C,Fp2,P4,50,100,12.253757867331007,1.2863448308715178e-45
sub-038,C,P3,Fp1,5,10,16.217583077406744,3.138144175416856e-14
sub-038,C,P3,Fp1,10,20,12.146664092553998,9.754727182243341e-18
sub-038,C,P3,Fp1,20,40,6.1482580645065,1.050577901244798e-13
sub-038,C,P3,Fp1,30,60,4.631502202297368,1.6702292767149938e-12
sub-038,C,P3,Fp1,40,80,4.333353457179655,1.3884249249243176e-13
sub-038,C,P3,Fp1,50,100,3.5692214625378673,1.0903677785648434e-11
sub-038,C,Fp1,P3,5,10,18.549904253721213,3.800529145518021e-16
sub-038,C,Fp1,P3,10,20,9.288323303778538,1.8271623360104463e-13
sub-038,C,Fp1,P3,20,40,7.0333939353387676,5.121290420384868e-16
sub-038,C,Fp1,P3,30,60,9.801063511052151,2.7610567179606523e-29
sub-038,C,Fp1,P3,40,80,7.736412512389368,5.847575899947447e-27
sub-038,C,Fp1,P3,50,100,7.2204069427626605,5.715591538475782e-28
sub-038,C,P4,Fp2,5,10,12.239263140427632,7.48884535605974e-11
sub-038,C,P4,Fp2,10,20,15.798535724182784,6.822534014143862e-23
sub-038,C,P4,Fp2,20,40,11.743080171306131,2.1222851188184863e-27
sub-038,C,P4,Fp2,30,60,10.566530700477397,1.7213551491626809e-31
sub-038,C,P4,Fp2,40,80,12.950372953946903,1.2944525675173676e-43
sub-038,C,P4,Fp2,50,100,11.268282187253106,1.5749704292944692e-42
sub-038,C,Fp2,P4,5,10,18.4743383141809,4.3773627752969383e-16
sub-038,C,Fp2,P4,10,20,9.17537717523903,2.721005741740164e-13
sub-038,C,Fp2,P4,20,40,5.352828333625483,1.3673481579871723e-11
sub-038,C,Fp2,P4,30,60,7.220683690459633,2.544121904912874e-21
sub-038,C,Fp2,P4,40,80,6.6595172085492,5.924008540873608e-23
sub-038,C,Fp2,P4,50,100,5.243733210943416,1.5634357905839672e-19
sub-039,C,P3,Fp1,5,10,8.988744920648456,5.3595596749279835e-08
sub-039,C,P3,Fp1,10,20,5.492574306639002,1.6051548324867321e-07
sub-039,C,P3,Fp1,20,40,4.5095712680869795,2.520991857943223e-09
sub-039,C,P3,Fp1,30,60,6.552531323096969,4.0366116723770445e-19
sub-039,C,P3,Fp1,40,80,6.002805296105237,2.097316241545579e-20
sub-039,C,P3,Fp1,50,100,4.668571122379391,6.702471437867363e-17
sub-039,C,Fp1,P3,5,10,21.02710749633208,3.935729553909253e-18
sub-039,C,Fp1,P3,10,20,11.610553967060799,5.954250212397847e-17
sub-039,C,Fp1,P3,20,40,10.880344309728073,1.9628757881587229e-25
sub-039,C,Fp1,P3,30,60,8.424505099394846,3.847653487813839e-25
sub-039,C,Fp1,P3,40,80,6.971115905132523,3.902861658471568e-24
sub-039,C,Fp1,P3,50,100,5.397986114703828,3.171796016156403e-20
sub-039,C,P4,Fp2,5,10,13.738793486505973,3.849767182500773e-12
sub-039,C,P4,Fp2,10,20,12.695731416716145,1.557015715974672e-18
sub-039,C,P4,Fp2,20,40,10.06380532286657,1.592961959349466e-23
sub-039,C,P4,Fp2,30,60,8.936807730686771,1.036183626988479e-26
sub-039,C,P4,Fp2,40,80,7.123045867743095,1.0520238046824975e-24
sub-039,C,P4,Fp2,50,100,5.537605523973654,7.571921652286516e-21
sub-039,C,Fp2,P4,5,10,21.561925125548278,1.490416433119617e-18
sub-039,C,Fp2,P4,10,20,12.124880012610754,1.0495258077121013e-17
sub-039,C,Fp2,P4,20,40,7.4849580250382015,3.542399476298108e-17
